MINLPLib Model Statistics
Name              #Eqns   #Vars  #DVars     #NZ    #NNZ     BestInt Point
m7                  212     115      42     867      14    106.7569 p1
m7_ar25_1           270     113      42    1053      14    143.5850 p1
m7_ar2_1            270     113      42    1053      14    190.2350 p1
m7_ar3_1            270     113      42    1053      14    143.5850 p1
m7_ar4_1            270     113      42    1053      14    106.7569 p1
m7_ar5_1            270     113      42    1053      14    106.4600 p1
mbtd                 71     211     200    1841    1400      4.8333 p2
meanvarx             45      36      14     111       7     14.3692 p1
meanvarxsc           31      36      28      83       7     14.3692 p1
minlphix             93      85      20     317      40    316.6927 p1
hmittelman            8      17      16     123     122     13.0000 p1
netmod_dol1        3138    1999     462    8569       6     -0.5600 p1
netmod_dol2        3081    1999     462   18737       6     -0.5600 p1
netmod_kar1         667     457     136    1849       4     -0.4198 p1
netmod_kar2         667     457     136    1849       4     -0.4198 p1
no7_ar25_1          270     113      42    1061      14    107.8153 p1
no7_ar2_1           270     113      42    1061      14    107.8153 p1
no7_ar3_1           270     113      42    1061      14    107.8153 p1
no7_ar4_1           270     113      42    1061      14     98.5184 p1
no7_ar5_1           270     113      42    1061      14     90.6227 p1
nous1                44      51       2     197     122      1.5671 p1
nous2                44      51       2     197     122      0.6260 p1
nuclear104        14246   23814   10816  106857   61108
nuclear10a         3340   13011   10920   67870   44884
nuclear10b        24972   23827   10920  100318   23252
nuclear14          1227    1563     576    8180    5520     -1.1277 p1
nuclear14a          634     993     600    6362    4944     -1.1280 p1
nuclear14b         1786    1569     600    8090    3792     -1.1169 p4
nuclear25          1304    1679     625    8837    5990     -1.1186 p1
nuclear25a          660    1059     650    6767    5240     -1.1202 p1
nuclear25b         1910    1684     650    8642    3990     -1.1010 p4
nuclear49          3874    5736    2401   27971   17539     -1.1514 p1
nuclear49a         1432    3342    2450   19501   14109     -1.1514 p1
nuclear49b         6234    5743    2450   26704    9307     -1.1169 p2
nuclearva           318     352     168    2545    2024     -1.0125 p2
nuclearvb           318     352     168    2509    1988     -1.0304 p1
nuclearvc           318     352     168    2509    1988     -0.9983 p1
nuclearvd           318     352     168    3385    2864     -1.0344 p3
nuclearve           318     352     168    3385    2864     -1.0351 p1
nuclearvf           318     352     168    3385    2864     -1.0194 p2
nvs01                 4       4       2      10       7     12.4697 p1
nvs02                 4       9       5      20      16      5.9846 p1
nvs03                 3       3       2       7       3     16.0000 p1
nvs04                 1       3       2       3       2      0.7200 p1
nvs05                10       9       2      31      24      5.4709 p1
nvs06                 1       3       2       3       2      1.7703 p1
nvs07                 3       4       3       9       3      4.0000 p1
nvs08                 4       4       2      13       7     23.4497 p1
nvs09                 1      11      10      11      10    -43.1343 p1
nvs10                 3       3       2       7       6   -310.8000 p1
nvs11                 4       4       3      13      12   -431.0000 p1
nvs12                 5       5       4      21      20   -481.2000 p1
nvs13                 6       6       5      31      30   -585.2000 p1
nvs14                 4       9       5      20      16 -40358.1548 p1
nvs15                 2       4       3       7       3      1.0000 p1
nvs16                 1       3       2       3       2      0.7031 p1
nvs17                 8       8       7      57      56  -1100.4000 p1
nvs18                 7       7       6      43      42   -778.4000 p1
nvs19                 9       9       8      73      72  -1098.4000 p1
nvs20                 9      17       5      70      16    230.9222 p1
nvs21                 3       4       2       8       7     -5.6848 p1
nvs22                10       9       4      31      24      6.0582 p1
nvs23                10      10       9      91      90  -1125.2000 p1
nvs24                11      11      10     111     110  -1033.2000 p1
o7_2                212     115      42     877      14    116.9459 p1
o7                  212     115      42     877      14    131.6531 p1
o7_ar25_1           270     113      42    1063      14    140.4120 p1
o7_ar2_1            270     113      42    1063      14    140.4120 p1
o7_ar3_1            270     113      42    1063      14    137.9318 p1
o7_ar4_1            270     113      42    1063      14    131.6531 p1
o7_ar5_1            270     113      42    1063      14    116.9458 p1
o8_ar4_1            348     145      56    1397      16    243.0707 p1
o9_ar4_1            436     181      72    1765      18    236.1385 p1
oaer                  8      10       3      26       2     -1.9231 p1
oil                1547    1536      19    3932     759     -0.9325 p1
oil2                927     937       2    2215     440     -0.7333 p1
ortez                75      88      18     269      54  -9532.0391 p1
parallel            116     206      25     752     155    924.2956 p1
pb302035             51     601     600    1801     6003379359.0000 p1
pb302055             51     601     600    1801     6003599602.0000 p1
pb302075             51     601     600    1801     6004050938.0000 p1
pb302095             51     601     600    1801     6005726530.0000 p1
pb351535             51     526     525    1576     5254456670.0000 p1
pb351555             51     526     525    1576     5254639128.0000 p1
pb351575             51     526     525    1576     5256301723.0000 p1
pb351595             51     526     525    1576     5256670264.0000 p1
prob02                9       7       6      32      10 112235.0000 p1
prob03                2       3       2       5       2     10.0000 p1
prob10                3       3       1       7       2      3.4455 p1
procsel               8      11       3      26       2     -1.9231 p1
product            1926    1554     107    5556     264  -2142.9481 p1
product2           3126    2843     128    8250    1056  -2102.3893 p2
pump                 35      25       9      94      36 128893.7410 p2
qap                  31     226     225     676     225 388214.0000 p1
qapw                256     451     225   43974     450 388214.0000 p1
ravem               187     113      54     611      28 269590.2193 p1
ravempb             187     113      54     611      28 269590.2193 p1
risk2b              581     464      14    2289       3    -55.8761 p1
risk2bpb            581     464      14    2289       3    -55.8761 p1
saa_2              6206    4408     400   26610   15400     12.1613 p4
sep1                 32      30       2      99      12   -510.0810 p1
space25             236     894     750    2057     111    484.3286 p1
space25a            202     384     240    1513     111    484.3286 p1
space960           6498    5538     960   19961    47007610305.2458 p1
spectra2             73      70      30     409     240     13.9783 p1
spring                9      18      12      44      14      0.8462 p1
st_e13                3       3       1       7       1      2.0000 p1
st_e14               14      12       4      40      17      4.5796 p1
st_e15                6       6       3      17       2      7.6672 p1
st_e27                7       5       2      17       2      2.0000 p1
st_e29                8      12       8      31       6     -0.9435 p1
st_e31              136     113      24     314      14     -2.0000 p1
st_e32               19      36      19     169      63     -1.4304 p1
st_e35               40      33       7     131      16  64868.0768 p1
st_e36                3       3       1       7       6   -246.0000 p1
st_e38                4       5       2      11       6   7197.7271 p1
st_e40                9       5       3      23       6     30.4142 p1
st_miqp1              2       6       5      11       5    281.0000 p1
st_miqp2              4       5       4      11       2      2.0000 p1
st_miqp3              2       3       2       5       1     -6.0000 p1
st_miqp4              5       7       3      16       3  -4574.0000 p1
st_miqp5             14       8       2      75       2   -333.8889 p1
st_test1              2       6       5      11       4      0.0000 p1
st_test2              3       7       6      15       5     -9.2500 p1
st_test3             11      14      13      42       5     -7.0000 p1
st_test4              6       7       6      37       2     -7.0000 p1
st_test5             12      11      10     112       7   -110.0000 p1
st_test6              6      11      10      57      10    471.0000 p1
st_test8             21      25      24     121      24 -29605.0000 p1
st_testgr1            6      11      10      52      10    -12.8116 p1
st_testgr3           21      21      20     182      20    -20.5900 p1
st_testph4           11       4       3      28       3    -80.5000 p1
stockcycle           98     481     432    1009      48 119948.6883 p2
super1             1659    1308      44    4805    1201      9.5079 p1
super2             1659    1308      44    4809    1201      4.9345 p1
super3             1659    1308      44    4817    1201     12.6284 p1
super3t            1343    1056      44    3719     872     -0.6689 p2
synheat              65      57      12     225      28 154997.3349 p1
synthes1              7       7       3      23       6      6.0098 p1
synthes2             15      12       5      49       8     73.0353 p1
synthes3             24      18       8      91      12     68.0097 p1
tln12                73     169     168     793     288     90.5000 p3
tln2                 13       9       8      33       8      5.3000 p1
tln4                 25      25      24     105      32      8.3000 p1
tln5                 31      36      35     156      50     10.3000 p1
tln6                 37      49      48     217      72     15.3000 p2
tln7                 43      64      63     288      98     15.0000 p2
tloss                54      49      48     303      72     16.3000 p1
tls12               385     813     668    7205     288    112.8000 p1
tls2                 25      38      33     210       8      5.3000 p1
tls4                 65     106      89     614      32      8.3000 p3
tls5                 91     162     136     956      50     10.3000 p4
tls6                121     216     179    1370      72     15.3000 p3
tls7                155     346     296    2258      98     15.5000 p3
tltr                 55      49      48     228      54     48.0667 p1
uselinear          7031    6793      58   22541   14091  -1050.3359 p1
util                168     146      28     467      10    999.5788 p1
var_con10           465     574      12    2557    1920    444.2140 p1
var_con5            465     574      12    2557    1920    278.1449 p1
waste              1992    2485     400    9243    2736    598.9192 p2
water3              138     196     126     757      46    907.0170 p4
water4              138     196     126     757      46    907.0170 p3
waterful2           384     630     448    2479     116   1012.6093 p4
waters              138     196     126     645      46    913.7757 p5
watersbp            138     196     126     645      46    913.7757 p4
watersym1           202     322     224    1247      60    913.7757 p4
watersym2           202     322     224    1247      60    940.9189 p2
waterx               55      71      14     241      60    909.0401 p3
waterz              138     196     126     645      46    907.0170 p3
windfac              14      15       3      38      24      0.2545 p1
