$offlisting
*   Contains Z(i,i), te(i), pe, r(i)

table Z(i,i)

                 i1                        i2                        i3
 i5    5.460060286984620e+003   -1.016507600163365e+004    5.434810485278098e+003
 i6    1.078503273575503e+002    2.742672697060945e+003   -6.667383468056047e+003
 i7    5.875984075815777e+002   -1.104700443719231e+003    5.421630404715974e+003
 i8    1.080283700023210e+002    2.350153066781013e+002    8.196765900398474e+001
 i9    1.130897228615159e+002   -1.570213648095234e+001    5.709179300560684e+002
i10    6.011092888442346e+001    6.385940597276974e+001    9.671857325370912e+001
i11    4.874473327044698e+001    3.721006503447642e+001    1.056022651452726e+002
i12    3.620874604899036e+001    3.382335494467109e+001    5.504627678485864e+001
i13    2.948893225323541e+001    2.640645951270759e+001    4.535910995612051e+001
i14    2.386425483528815e+001    2.178037072640128e+001    3.396939989143805e+001
i15    1.994017845019734e+001    1.811225833935153e+001    2.802329981311948e+001
i16    1.666320016326318e+001    1.524431232228177e+001    2.296203377373148e+001
i17    1.416226958300549e+001    1.302909332676110e+001    1.940469939094518e+001
i18    1.200683239692332e+001    1.118978299964558e+001    1.641144004417575e+001
i19    1.027082114207141e+001    9.710923361332812e+000    1.408470087659436e+001
i20    8.723418173736560e+000    8.437597103318607e+000    1.207274426490277e+001
i21    7.418330069596440e+000    7.371410849262457e+000    1.041592727438870e+001
i22    6.215438497803250e+000    6.423273522519771e+000    8.938708155878107e+000
i23    5.153459827922709e+000    5.598148470429353e+000    7.663853430155949e+000
i24    4.140780185597756e+000    4.840357153209824e+000    6.490669581451873e+000
i25    3.202623589346620e+000    4.154283036781286e+000    5.431464079087574e+000
i26    2.276141622299642e+000    3.502561416625230e+000    4.423264468186504e+000
i27    1.371907575840445e+000    2.886492321311887e+000    3.468307693303071e+000
i28    4.457289408236208e-001    2.279619272985881e+000    2.524942706455441e+000
i29   -5.132276418670292e-001    1.676457558886586e+000    1.580486571465434e+000
i30   -1.535960976742691e+000    1.057576633214354e+000    6.065627491903365e-001
i31   -2.679225543069843e+000    4.005759426938297e-001   -4.427484097364056e-001
i32   -3.966337385302946e+000   -3.102046934972830e-001   -1.588786977844016e+000
i33   -5.602548837654349e+000   -1.153066232791058e+000   -2.986775400756539e+000
i34   -7.677069648264445e+000   -2.174357507405916e+000   -4.707718860771160e+000
i35   -1.110598521406232e+001   -3.696896246791169e+000   -7.431818848553859e+000
i36   -1.890735583852800e+001   -7.056608327669239e+000   -1.338354828422713e+001
i37   -4.215854117046774e+001   -1.602513889551118e+001   -3.072358392442327e+001

 +               i7                        i8                        i9
 i1    1.651353968758231e+001   -3.150506971256701e+001    1.546398578319893e+001
 i2    6.788940823357952e+001    5.252248184397040e+001    3.318887235029604e+001
 i3   -5.143940513352428e+000    1.138409766505421e+002    4.154608113029617e+001
 i4    2.419550398330130e+002    1.079785663489848e+002    6.711335138464931e+001
 i5   -1.104711914749682e+003    5.773466638043720e+002   -1.557709284573328e+001
 i6    2.733647025088794e+003    8.187476091969975e+001    2.304737904621577e+002
 i7   -1.018354235127419e+004    5.413486353383158e+003   -1.114941621928740e+003
 i8    2.728296699892214e+003   -6.684949699835951e+003    2.724855338165196e+003
 i9   -1.115000816191588e+003    5.408226321135425e+003   -1.019066871758354e+004
i10    2.272590220935755e+002    7.139026843470349e+001    2.722433550101896e+003
i11   -2.138708400244874e+001    5.628224901011186e+002   -1.119703290406440e+003
i12    5.955597255529818e+001    9.035049780956138e+001    2.234152182043017e+002
i13    3.398276030382358e+001    1.006677508839068e+002   -2.448846503860555e+001
i14    3.135327656406407e+001    5.114596475887373e+001    5.701268432607622e+001
i15    2.451808930722801e+001    4.230105132871807e+001    3.191196754045858e+001
i16    2.032108909457278e+001    3.154111729103762e+001    2.964649684504848e+001
i17    1.698061576636935e+001    2.610431339026285e+001    2.311736297311885e+001
i18    1.436494593514963e+001    2.143686931581530e+001    1.916238406320468e+001
i19    1.234161025098876e+001    1.819714108078007e+001    1.602526624404219e+001
i20    1.065606919050910e+001    1.545717772553445e+001    1.357459615683947e+001
i21    9.293765810710701e+000    1.333434235543151e+001    1.169028858893415e+001
i22    8.117413765401240e+000    1.148951428753056e+001    1.012036344445917e+001
i23    7.124424163236764e+000    9.966647219193327e+000    8.855960676234103e+000
i24    6.239290246922932e+000    8.601546035834502e+000    7.762886222517524e+000
i25    5.461290676973927e+000    7.415164749896934e+000    6.840819969395722e+000
i26    4.745091605196343e+000    6.316391294819781e+000    6.017141765647432e+000
i27    4.089143102365550e+000    5.312583459977901e+000    5.291633168257000e+000
i28    3.463877239823947e+000    4.348579757915100e+000    4.621295525306875e+000
i29    2.864177230425772e+000    3.417943287031471e+000    4.003981600693426e+000
i30    2.269300077791872e+000    2.485032950363021e+000    3.411662341436703e+000
i31    1.663992548840197e+000    1.518061247074780e+000    2.836918004469651e+000
i32    1.031836204453999e+000    4.911761211472655e-001    2.258855019948798e+000
i33    3.237130141559216e-001   -7.059407245825475e-001    1.654019885191067e+000
i34   -4.985941525384176e-001   -2.132888551520020e+000    9.885913376813948e-001
i35   -1.620001456817471e+000   -4.273395058071248e+000    1.937604979651126e-001
i36   -3.946759532545431e+000   -8.681040340718605e+000   -1.275519119849109e+000
i37   -9.545184061441775e+000   -2.110640063917461e+001   -4.050658728077815e+000

 +               i10                       i11                       i12
 i1   -2.599075777200951e+001    1.032496294936469e+001   -1.974908369665222e+001
 i2    2.797062058837960e+001    2.022104884795565e+001    1.694447998820390e+001
 i3    4.655082153813373e+001    2.820759082253901e+001    2.677007975549370e+001
 i4    5.988746659504474e+001    3.549088160951441e+001    3.594663056747668e+001
 i5    1.087019151453563e+002    3.739771471152974e+001    4.682040097764405e+001
 i6    9.656314446097535e+001    6.155467859677454e+001    5.487627769973737e+001
 i7    5.661003203137946e+002   -2.129156430777119e+001    1.027120481062445e+002
 i8    7.133387760205567e+001    2.251048990804844e+002    9.027223071506995e+001
 i9    5.404507343933920e+003   -1.119668249967710e+003    5.602609773163275e+002
i10   -6.692646912897610e+003    2.720717503709231e+003    6.600542337188736e+001
i11    5.401849921283734e+003   -1.019419124458886e+004    5.399831826558723e+003
i12    6.603180170892561e+001    2.719411295973634e+003   -6.696759425236784e+003
i13    5.583984756003406e+002   -1.122257021696668e+003    5.398304353702078e+003
i14    8.664724645812625e+001    2.212365589446284e+002    6.295441879205820e+001
i15    9.760191313620287e+001   -2.632891446973447e+001    5.557620868693175e+002
i16    4.857973754989515e+001    5.544505552077983e+001    8.437376480573774e+001
i17    4.017037267392771e+001    3.058680612687569e+001    9.566136429420308e+001
i18    2.975880654935483e+001    2.851990151895938e+001    4.691562388776262e+001
i19    2.462414749700693e+001    2.216648845977815e+001    3.875704518126346e+001
i20    2.020345007875613e+001    1.835801398044470e+001    2.855649559697087e+001
i21    1.717747462368656e+001    1.535071413173933e+001    2.361243786328381e+001
i22    1.461549658033273e+001    1.301033741022904e+001    1.935440284598237e+001
i23    1.264674301902612e+001    1.122425447888214e+001    1.647507083381343e+001
i24    1.093221998678726e+001    9.739353010236156e+000    1.403975798257502e+001
i25    9.521578181394444e+000    8.551283097757928e+000    1.218477683550897e+001
i26    8.251924216798603e+000    7.525431341170182e+000    1.056902598625803e+001
i27    7.145888990570348e+000    6.664397235681392e+000    9.245920088557242e+000
i28    6.113894838548141e+000    5.895239232302511e+000    8.051207645654010e+000
i29    5.161178888409398e+000    5.220050317153512e+000    7.008451719125954e+000
i30    4.233612359856676e+000    4.595118196521570e+000    6.026513145335583e+000
i31    3.315042686037201e+000    4.021079919573722e+000    5.107101701035075e+000
i32    2.368549550843917e+000    3.467894831581631e+000    4.192667143046827e+000
i33    1.322994509652878e+000    2.935330311138669e+000    3.247569741202503e+000
i34    1.241363768271924e-001    2.390250795741676e+000    2.216376499633844e+000
i35   -1.552034669795487e+000    1.865909060470778e+000    9.077046396174175e-001
i36   -4.693955430967528e+000    1.132270169019345e+000   -1.173147537099817e+000
i37   -1.310351167618225e+001    8.230326831815645e-001   -6.218035496445213e+000

 +               i13                       i14                       i15
 i1    7.663711155397287e+000   -1.476735645303900e+001    6.524846312729231e+000
 i2    1.368287350114475e+001    1.119933200130430e+001    9.852438800010148e+000
 i3    1.886677592237053e+001    1.742588145750329e+001    1.335137607121374e+001
 i4    2.269077681721580e+001    2.361973737184075e+001    1.575711608065152e+001
 i5    2.660180174992295e+001    2.867092111793975e+001    1.828755636132012e+001
 i6    3.263588088679290e+001    3.381325958751442e+001    2.116093776271624e+001
 i7    3.408700073261569e+001    4.358993375329997e+001    2.461253346422422e+001
 i8    5.819792410490649e+001    5.106756156011870e+001    3.048096429604138e+001
 i9   -2.443978787087032e+001    9.890571014941810e+001    3.195947324056142e+001
i10    2.222142906175544e+002    8.661307791533501e+001    5.616866568078841e+001
i11   -1.122240625966515e+003    5.569005580049444e+002   -2.630879773758306e+001
i12    2.718431184917773e+003    6.294375715389172e+001    2.205079521919211e+002
i13   -1.019618857116706e+004    5.397104874188922e+003   -1.123768707111103e+003
i14    2.717660089826105e+003   -6.699188966569812e+003    2.717064994597104e+003
i15   -1.123774382513517e+003    5.396171984726409e+003   -1.019739334084464e+004
i16    2.199165830134177e+002    6.107911575037960e+001    2.716597919220947e+003
i17   -2.746585367264168e+001    5.541329809092900e+002   -1.124699366210871e+003
i18    5.446350327261004e+001    8.295711519014274e+001    2.191123957684699e+002
i19    2.974803917487333e+001    9.444444859206520e+001   -2.815547562777967e+001
i20    2.780380792428919e+001    4.587222767730959e+001    5.387546089050942e+001
i21    2.156299543343237e+001    3.787543723511053e+001    2.925600489465804e+001
i22    1.785271755708321e+001    2.781684958874389e+001    2.739792890496310e+001
i23    1.493593526269483e+001    2.300465238214136e+001    2.123884230438888e+001
i24    1.267579262324898e+001    1.886341764750604e+001    1.760299085038664e+001
i25    1.096434764424340e+001    1.609219648548685e+001    1.475753452650539e+001
i26    9.546717967398818e+000    1.375306872330286e+001    1.256342732558392e+001
i27    8.422250332499383e+000    1.198637992382941e+001    1.091656890320335e+001
i28    7.454755508190331e+000    1.044847231088140e+001    9.559960908204552e+000
i29    6.650734541692860e+000    9.195146142201601e+000    8.497873328282591e+000
i30    5.935290077160116e+000    8.059255406798137e+000    7.591461018700913e+000
i31    5.317179858519866e+000    7.065332687212751e+000    6.857225837718532e+000
i32    4.749527142757130e+000    6.117605889785924e+000    6.216347336223157e+000
i33    4.253750161600659e+000    5.214914811317349e+000    5.711209426948846e+000
i34    3.792674651336407e+000    4.291412925159142e+000    5.293014919221667e+000
i35    3.492970843018219e+000    3.269233680831906e+000    5.178133379200834e+000
i36    3.409478624478014e+000    2.106864551796852e+000    5.691247785995117e+000
i37    5.341809378333411e+000   -1.956332708501307e-002    9.763652094917429e+000

 +               i16                       i17                       i18
 i1   -1.064905673492858e+001    6.236725397311878e+000   -7.078950424164642e+000
 i2    7.779520625471339e+000    7.352637451683573e+000    5.489926734722380e+000
 i3    1.206350174216424e+001    9.869801443061373e+000    8.629024520079174e+000
 i4    1.645664619510679e+001    1.147192887166321e+001    1.184397005163260e+001
 i5    1.965116418242877e+001    1.317202786364813e+001    1.414345198032197e+001
 i6    2.283430463123606e+001    1.491564577316582e+001    1.631926299875331e+001
 i7    2.692860125842388e+001    1.705427754337518e+001    1.873396347957959e+001
 i8    3.147540698515845e+001    1.974616154127767e+001    2.139148272067038e+001
 i9    4.108772744732595e+001    2.315409130747631e+001    2.527450338057630e+001
i10    4.854929693154993e+001    2.904645169857575e+001    2.973947613067948e+001
i11    9.650417530351810e+001    3.060215663259848e+001    3.937818141468818e+001
i12    8.436244790036562e+001    5.490412093233338e+001    4.691034209350019e+001
i13    5.548449596203215e+002   -2.746183566898199e+001    9.497843384658553e+001
i14    6.107682393734827e+001    2.194634579492960e+002    8.295832164551430e+001
i15    5.395438254035491e+003   -1.124699816995848e+003    5.535784825633332e+002
i16   -6.700672945456248e+003    2.716238831506664e+003    5.994316641157739e+001
i17    5.394870014571213e+003   -1.019811509968252e+004    5.394442024973857e+003
i18    5.994063743788465e+001    2.715971601024480e+003   -6.701540425055813e+003
i19    5.531530999378392e+002   -1.125232554133280e+003    5.394131071539263e+003
i20    8.211975260109941e+001    2.186645525816546e+002    5.932141095297746e+001
i21    9.374365933190737e+001   -2.852048802493306e+001    5.526515148953939e+002
i22    4.529495881539894e+001    5.358709840533366e+001    8.172811420083990e+001
i23    3.741587793723917e+001    2.904228884227688e+001    9.345932707963337e+001
i24    2.746455438609077e+001    2.725423958347516e+001    4.511154069045632e+001
i25    2.275423802350949e+001    2.116413966631661e+001    3.733069069368766e+001
i26    1.870622614050651e+001    1.759407639777289e+001    2.747215427857428e+001
i27    1.602318200549738e+001    1.481499878709109e+001    2.285215175976668e+001
i28    1.376432027704559e+001    1.268558700448192e+001    1.888933102328719e+001
i29    1.207309136708407e+001    1.110748709167512e+001    1.628985658161093e+001
i30    1.060232854057714e+001    9.820658758106450e+000    1.410930849937046e+001
i31    9.412401383446124e+000    8.842575951126365e+000    1.249888026668312e+001
i32    8.330926512248482e+000    8.029967519968006e+000    1.110610970505553e+001
i33    7.394214357285272e+000    7.445942418548974e+000    1.001677331348818e+001
i34    6.509536017155355e+000    7.015458033763589e+000    9.075369609293345e+000
i35    5.700091138861000e+000    7.045670257513831e+000    8.400122171931397e+000
i36    5.366569465152735e+000    8.131069400894194e+000    8.854152999368493e+000
i37    5.884500604130103e+000    1.436616866871161e+001    1.189888975816569e+001

 +               i19                       i20                       i21
 i1    6.452279158702423e+000   -3.877827032802010e+000    6.981834993471296e+000
 i2    5.564438478634315e+000    3.778826296403767e+000    4.171385021086193e+000
 i3    7.490988347933841e+000    6.221794174767163e+000    5.738582135725536e+000
 i4    8.570751611603448e+000    8.604566807224003e+000    6.448683801093483e+000
 i5    9.816554111267417e+000    1.040169050070027e+001    7.437822983293935e+000
 i6    1.100658230444632e+001    1.201976113241216e+001    8.320499062702000e+000
 i7    1.238803874442889e+001    1.369382883241073e+001    9.308789172940351e+000
 i8    1.397259211402389e+001    1.543698004405537e+001    1.037472747490853e+001
 i9    1.604490213354030e+001    1.764317252378336e+001    1.168828221972588e+001
i10    1.872877198956743e+001    2.020032542821335e+001    1.325424126623466e+001
i11    2.217119103425969e+001    2.406803570753308e+001    1.534029369233719e+001
i12    2.811750535327299e+001    2.856209521388047e+001    1.805747740788583e+001
i13    2.974512980731216e+001    3.826752400568128e+001    2.154897016591424e+001
i14    5.412260174459501e+001    4.588130991716815e+001    2.755098662364113e+001
i15   -2.816093959195759e+001    9.404787038529781e+001    2.924172732610997e+001
i16    2.188443690894506e+002    8.212863158571318e+001    5.368343915054928e+001
i17   -1.125236825961047e+003    5.528568076417085e+002   -2.853240578008424e+001
i18    2.715779790847028e+003    5.932718045201339e+001    2.185397196528812e+002
i19   -1.019849603141100e+004    5.393934360234634e+003   -1.125472893817487e+003
i20    2.715664751066449e+003   -6.701943354124900e+003    2.715611078677627e+003
i21   -1.125465681192605e+003    5.393833522496528e+003   -1.019859608554193e+004
i22    2.185019038107687e+002    5.912585219372006e+001    2.715632566306560e+003
i23   -2.861274167256518e+001    5.525578356616506e+002   -1.125428377713118e+003
i24    5.356301330092101e+001    8.173358113137623e+001    2.186087384751683e+002
i25    2.908717524415945e+001    9.356370234292838e+001   -2.843370168919197e+001
i26    2.736700841558421e+001    4.531267463623772e+001    5.381545482551718e+001
i27    2.134743807284830e+001    3.762874180750607e+001    2.941801153990872e+001
i28    1.784835426565244e+001    2.786524630961002e+001    2.777930128429091e+001
i29    1.514728658903391e+001    2.334220425052600e+001    2.185184093321453e+001
i30    1.309971138867427e+001    1.947496406831091e+001    1.845238413760521e+001
i31    1.162386987059361e+001    1.698052599650483e+001    1.587897671379210e+001
i32    1.045503530167958e+001    1.490984647018190e+001    1.398250475911737e+001
i33    9.671307220998292e+000    1.345293757367751e+001    1.275799474855018e+001
i34    9.140059659960468e+000    1.229296179718336e+001    1.196061638881993e+001
i35    9.265023276011995e+000    1.164664053799285e+001    1.209615765350674e+001
i36    1.092579741716491e+001    1.289375940908103e+001    1.435975285004833e+001
i37    1.948583413034105e+001    1.850505553270246e+001    2.558271529241802e+001

 +               i22                       i23                       i24
 i1   -9.461159302591287e-001    7.713552337020770e+000    1.771252446109182e+000
 i2    2.356422761686539e+000    2.991322197605242e+000    1.046671467720392e+000
 i3    4.378834622669242e+000    4.346662539752974e+000    2.831247866739588e+000
 i4    6.139618173539129e+000    4.778702531010788e+000    4.107836085328768e+000
 i5    7.641659632859811e+000    5.624036915460531e+000    5.442286107098036e+000
 i6    8.927337567076808e+000    6.326433476155736e+000    6.523652708276016e+000
 i7    1.021986895608922e+001    7.104546567372286e+000    7.611297435237983e+000
 i8    1.149820094138403e+001    7.900713679284675e+000    8.642876501376376e+000
 i9    1.298571029655736e+001    8.828332543680634e+000    9.776801233103249e+000
i10    1.463264505906498e+001    9.875964191555040e+000    1.097371920268756e+001
i11    1.680776880450708e+001    1.119466935140918e+001    1.242833550490209e+001
i12    1.937491308553219e+001    1.278411828597031e+001    1.407928585491886e+001
i13    2.328443349123129e+001    1.490686507385277e+001    1.628467603542045e+001
i14    2.783761708018290e+001    1.766866256267662e+001    1.889989714560391e+001
i15    3.761824690811758e+001    2.121200545477082e+001    2.287225392138147e+001
i16    4.531370698224261e+001    2.726910473480696e+001    2.749709359187482e+001
i17    9.357023546870420e+001    2.901917873713946e+001    3.735822875196661e+001
i18    8.174286466962401e+001    5.352160974505824e+001    4.513910489372228e+001
i19    5.525674093295785e+002   -2.863052408685960e+001    9.348702631752249e+001
i20    5.913452843634619e+001    2.185063259399636e+002    8.175470824182138e+001
i21    5.393841246222314e+003   -1.125438773321552e+003    5.526791429209088e+002
i22   -6.701936620271288e+003    2.715714165489399e+003    5.934999343202250e+001
i23    5.393942319681301e+003   -1.019842065251681e+004    5.394165222891979e+003
i24    5.933757388038237e+001    2.715882763655504e+003   -6.701499319137839e+003
i25    5.528748358884793e+002   -1.125098546342697e+003    5.394498544706151e+003
i26    8.215743163901585e+001    2.190221341818061e+002    6.001898214479772e+001
i27    9.409771696853922e+001   -2.792872132230944e+001    5.536891168049309e+002
i28    4.595916988373475e+001    5.441858288880574e+001    8.311287391167808e+001
i29    3.839420146458780e+001    3.013484121511684e+001    9.520749796291788e+001
i30    2.875379539212053e+001    2.862263933496770e+001    4.723600301281497e+001
i31    2.437217640265008e+001    2.285994885489324e+001    3.986922072816006e+001
i32    2.066198780967897e+001    1.965968593488122e+001    3.045969946890033e+001
i33    1.839302010829646e+001    1.741656446469571e+001    2.640985812586242e+001
i34    1.667990850285052e+001    1.601525912021657e+001    2.324199171394134e+001
i35    1.588150665700143e+001    1.598377188660660e+001    2.191232851745683e+001
i36    1.797057686338437e+001    1.889071990743020e+001    2.490489905343966e+001
i37    2.636227362286822e+001    3.335889773872786e+001    3.649534927963418e+001

 +               i25                       i26                       i27
 i1    8.578332632260615e+000    4.305672103079412e+000    9.535761405617244e+000
 i2    1.903695858016125e+000   -2.799676793021637e-001    8.118405657545242e-001
 i3    3.149584371379380e+000    1.399295909124999e+000    2.027747700835169e+000
 i4    3.363040929649637e+000    2.288380891763866e+000    2.064186345902738e+000
 i5    4.137280029796083e+000    3.544841048931612e+000    2.821383379731322e+000
 i6    4.734390920304070e+000    4.505166365778768e+000    3.364059573501145e+000
 i7    5.402315979539556e+000    5.490893786121881e+000    3.984487581603140e+000
 i8    6.054964566628835e+000    6.395509573956414e+000    4.567261342196801e+000
 i9    6.783019591227343e+000    7.353164130156721e+000    5.197019929143558e+000
i10    7.566814899054990e+000    8.323044905644123e+000    5.846480228798436e+000
i11    8.497931775343879e+000    9.429936526210875e+000    6.580708690235237e+000
i12    9.565884204127233e+000    1.063284039885807e+001    7.386099418960459e+000
i13    1.091566904845156e+001    1.211477173963983e+001    8.347413658090586e+000
i14    1.254457522824550e+001    1.381052495261807e+001    9.454018712517843e+000
i15    1.471361895075090e+001    1.607414599592773e+001    1.084894250838226e+001
i16    1.752628530243986e+001    1.875787208169474e+001    1.252849073122622e+001
i17    2.112532633978400e+001    2.280803724374198e+001    1.475363730258503e+001
i18    2.724124068921982e+001    2.751798150530238e+001    1.762699423982028e+001
i19    2.905426600804673e+001    3.747173012604542e+001    2.129219959765725e+001
i20    5.362264325480267e+001    4.535192894923731e+001    2.747922811104408e+001
i21   -2.845915401918572e+001    9.380640503391578e+001    2.936979234887410e+001
i22    2.187517659542166e+002    8.218826443814727e+001    5.402201468617106e+001
i23   -1.125113750752952e+003    5.532349952754992e+002   -2.796749177398164e+001
i24    2.716123953577202e+003    6.003777954323547e+001    2.193444148725894e+002
i25   -1.019791830080490e+004    5.394995182208128e+003   -1.124408010294489e+003
i26    2.716485198208381e+003   -6.700514478676967e+003    2.716955359010946e+003
i27   -1.124383682941766e+003    5.395652705542101e+003   -1.019694219206881e+004
i28    2.198610577046482e+002    6.135988545404156e+001    2.717625411182181e+003
i29   -2.694294800228883e+001    5.552407439905646e+002   -1.123045067963869e+003
i30    5.557215670378064e+001    8.490223604768062e+001    2.214322990556716e+002
i31    3.150943017356688e+001    9.728620046568048e+001   -2.506220771384187e+001
i32    3.026966587542628e+001    4.966612679480041e+001    5.784214601959783e+001
i33    2.495369036151822e+001    4.279900316289074e+001    3.440839424278342e+001
i34    2.243121084312551e+001    3.422899269281515e+001    3.413602101298849e+001
i35    2.176367959882431e+001    3.151747121805997e+001    3.096958694155677e+001
i36    2.533745762933655e+001    3.525808167745352e+001    3.535169744365039e+001
i37    4.399746108220509e+001    5.070227782406879e+001    5.967191295294980e+001

 +               i28                       i29                       i30
 i1    6.682670339645847e+000    1.057501557168344e+001    8.953784736041303e+000
 i2   -1.747101802987362e+000   -3.853280327212509e-001   -3.517865282091824e+000
 i3   -6.398027319455668e-002    8.731825172649719e-001   -1.721093213259171e+000
 i4    5.100891562358563e-001    7.637796449232064e-001   -1.404220358691008e+000
 i5    1.761990294989922e+000    1.552400277268490e+000   -8.261130900803781e-002
 i6    2.664367118599180e+000    2.081756816649649e+000    8.202828630412160e-001
 i7    3.619642891890980e+000    2.702024241429235e+000    1.807637980722289e+000
 i8    4.474055151473678e+000    3.265699937040970e+000    2.672873211582726e+000
 i9    5.357687315737285e+000    3.861093470880213e+000    3.555101131258054e+000
i10    6.223012112458255e+000    4.452622586630287e+000    4.396186842691650e+000
i11    7.164340941317706e+000    5.094791222203341e+000    5.279288986776880e+000
i12    8.147581280230352e+000    5.770850205114669e+000    6.170792689215081e+000
i13    9.284986890054789e+000    6.538465271986779e+000    7.152000542392093e+000
i14    1.053523937962794e+001    7.385557389205230e+000    8.191016919037644e+000
i15    1.207690583867770e+001    8.394923794282258e+000    9.396057294495265e+000
i16    1.384366181982995e+001    9.555766392675729e+000    1.072584389245472e+001
i17    1.618831192464017e+001    1.101131463888003e+001    1.235845364138240e+001
i18    1.896247508041375e+001    1.275743111818371e+001    1.422752167287549e+001
i19    2.311260520361363e+001    1.505647263653663e+001    1.668710751876312e+001
i20    2.793236930617485e+001    1.801076868311246e+001    1.958950403974301e+001
i21    3.800646594050686e+001    2.176626503065994e+001    2.388349856293584e+001
i22    4.601907617695808e+001    2.805301232406599e+001    2.886470639744568e+001
i23    9.461898668633805e+001    3.005617984907281e+001    3.912119558526576e+001
i24    8.316227453913074e+001    5.483444248162111e+001    4.734099245019806e+001
i25    5.543879547202973e+002   -2.701007411711258e+001    9.617799586957104e+001
i26    6.139181587633468e+001    2.204668757111581e+002    8.499489047099164e+001
i27    5.396575974207777e+003   -1.123090377212608e+003    5.565399894114738e+002
i28   -6.698674846267325e+003    2.718500031796549e+003    6.391994425081715e+001
i29    5.397793933201046e+003   -1.019511656138692e+004    5.399558133530232e+003
i30    6.385468692510614e+001    2.719789010533008e+003   -6.695140877517410e+003
i31    5.581764699958154e+002   -1.120426208268140e+003    5.402035644859548e+003
i32    8.839513187153605e+001    2.246370788854610e+002    6.902712458097467e+001
i33    1.015611133652164e+002   -2.092514177864851e+001    5.646473799823643e+002
i34    5.529812362846062e+001    6.344521835299572e+001    9.720634224933345e+001
i35    5.038765999001004e+001    4.307303823981724e+001    1.134444491193687e+002
i36    5.240908432856360e+001    5.295912901831109e+001    8.460220866144208e+001
i37    7.269046555217827e+001    8.434885422187023e+001    1.133653605641192e+002

 +               i31                       i32                       i33
 i1    1.173918340440294e+001    1.130599417370161e+001    1.321053336006914e+001
 i2   -1.833411016530626e+000   -5.909937062162634e+000   -3.820448772479006e+000
 i3   -4.483829429371482e-001   -3.847374210581136e+000   -2.178270965706861e+000
 i4   -6.789603436108095e-001   -3.740612384723020e+000   -2.510941279023349e+000
